Z:\GLBRC SERIES 2 042111B\GLBRC SERIES 2 042111 2011-04-22 10-30-13\BLKA.D,,,,,
GLBRC Series 2 2011,,,,,
All Values in PPM,,NA=invalid data,,,CH4 corrected to Air
Sample,,,,,
,N20,CO2,CH4,,
182,0.351,468.9,1.739,,
183,0.376,526.2,1.827,,
184,0.357,579.9,1.789,,
185,0.369,414.9,1.798,,
186,0.354,480.4,1.750,,
187,0.368,533.3,1.768,,
188,0.366,621.2,1.746,,
189,0.367,403.1,1.706,,
190,0.356,459.7,1.747,,
191,0.372,479.5,1.727,,
192,0.357,528.0,1.894,,
193,0.369,422.2,1.748,,
194,0.357,450.5,1.796,,
195,0.368,477.2,1.961,,
196,0.360,530.7,1.795,,
197,0.369,409.2,1.933,,
198,0.361,450.7,1.768,,
199,0.368,463.1,1.822,,
200,0.358,496.4,1.799,,
CHK10,0.477,529.5,1.884,,
201,0.352,406.5,2.049,,
202,0.368,462.5,2.165,,
203,0.351,514.3,1.917,,
204,0.374,566.6,1.939,,
205,0.350,430.1,2.111,,
206,0.369,463.8,2.112,,
207,0.356,515.9,2.179,,
208,0.373,547.8,2.097,,
321,0.355,440.4,1.978,,
322,0.367,492.3,2.033,,
323,0.361,576.8,1.967,,
324,0.381,617.4,1.871,,
325,0.354,438.9,1.860,,
326,0.367,508.0,1.928,,
327,0.375,556.4,1.998,,
328,0.373,614.4,1.973,,
329,0.356,436.2,1.926,,
330,0.372,514.9,1.950,,
331,0.359,539.8,1.839,,
332,0.379,628.0,1.813,,
CHK11,0.509,612.9,2.191,,
333,0.388,448.5,1.917,,
334,0.361,513.5,1.987,,
335,0.385,603.6,2.012,,
336,0.387,680.1,1.774,,
337,0.361,440.2,1.863,,
338,0.354,478.6,2.044,,
339,0.369,615.8,1.861,,
340,0.378,671.5,1.854,,
341,0.364,452.5,1.809,,
342,0.355,498.3,1.780,,
343,0.375,580.9,1.857,,
344,0.379,719.3,1.906,,
345,0.365,412.1,2.026,,
346,0.371,539.2,1.871,,
347,0.369,587.4,1.765,,
348,0.380,651.1,1.815,,
349,0.368,437.9,1.905,,
350,0.365,513.1,1.966,,
351,0.398,639.2,1.900,,
352,0.411,802.3,1.958,,
CHK12,0.478,557.3,2.144,,
353,0.350,410.7,2.053,,
354,0.369,540.3,2.042,,
355,0.357,651.0,2.007,,
356,0.376,668.1,1.855,,
357,0.351,430.1,1.886,,
358,0.381,571.3,1.828,,
359,0.382,724.7,1.904,,
360,0.410,823.3,1.882,,
361,0.357,422.0,1.843,,
362,0.371,530.4,1.812,,
363,0.374,681.4,1.922,,
364,0.388,721.0,1.874,,
365,0.356,431.3,1.885,,
366,0.373,589.6,1.866,,
367,0.362,718.2,1.988,,
368,0.385,856.3,1.851,,
369,0.370,436.9,1.858,,
370,0.375,531.4,1.812,,
371,0.389,618.1,1.922,,
372,0.391,726.4,1.974,,
CHK13,0.506,590.4,2.183,,
373,0.366,461.8,1.991,,
374,0.364,619.1,1.952,,
375,0.372,678.1,1.868,,
376,0.373,836.2,1.900,,
377,0.367,422.6,1.998,,
378,0.375,587.2,1.951,,
379,0.369,620.2,1.881,,
380,0.355,720.8,1.812,,
381,0.361,455.5,1.780,,
382,0.359,609.0,1.821,,
383,0.376,562.9,1.813,,
384,0.381,645.3,1.850,,
385,0.372,438.1,1.928,,
386,0.355,507.7,1.840,,
387,0.372,546.8,1.847,,
388,0.361,612.8,1.975,,
389,0.360,364.9,1.993,,
390,0.365,532.3,1.975,,
391,0.393,591.5,1.882,,
392,0.385,629.7,1.925,,
CHK14,0.479,544.2,2.041,,
393,0.368,422.0,2.016,,
394,0.368,515.6,1.998,,
395,0.364,597.9,1.915,,
396,0.381,649.4,1.882,,
397,0.366,435.9,1.923,,
398,0.369,511.5,1.946,,
399,0.357,588.1,1.925,,
400,0.377,649.7,2.041,,
401,0.352,421.5,1.994,,
402,0.369,507.0,1.922,,
403,0.385,689.4,1.989,,
404,0.397,762.7,2.039,,
405,0.349,450.8,2.020,,
406,0.366,473.1,1.998,,
407,0.368,553.7,1.961,,
408,0.371,614.5,2.038,,
409,0.347,455.8,1.932,,
410,0.368,542.5,1.938,,
411,0.359,652.4,1.904,,
412,0.375,771.0,1.898,,
CHK15,0.509,630.0,2.191,,
413,0.362,428.2,1.993,,
414,0.351,468.0,1.964,,
415,0.381,567.8,2.099,,
416,0.350,577.1,2.005,,
417,0.362,421.0,1.967,,
418,0.355,543.7,1.975,,
419,0.371,704.9,1.968,,
420,0.360,795.0,2.043,,
421,0.363,426.1,1.948,,
422,0.360,547.6,1.807,,
423,0.379,619.2,1.744,,
424,0.376,707.4,1.610,,
425,0.364,431.8,1.760,,
426,0.354,478.7,1.839,,
427,0.371,570.5,1.864,,
428,0.356,616.4,1.783,,
429,0.361,419.7,1.640,,
430,0.369,505.9,1.709,,
431,0.367,609.9,1.771,,
432,0.357,735.7,1.734,,
CHK16,0.539,667.8,2.165,,
AIR1,0.349,421.6,1.726,,
AIR2,0.375,576.1,1.763,,
AIR3,0.361,651.2,1.812,,
AIR4,0.386,715.1,1.788,,
DUP1,0.347,421.9,1.821,,
DUP2,0.375,355.3,1.838,,
DUP3,0.351,415.4,1.771,,
DUP4,0.366,425.8,1.758,,
