GLBRC 2011 Series 1,,,,,,,,,,,,,,,,,
"time entered by:  LC, AO",,,,,,,,,,,,,,,,,
time checked by: DC,,,,,,,,,,,,,,,,,
sample date:  4/7/2011,,,,,,,,,,,,,,,,,
,,,,,,,Box,Box,Box,Box,,,,,,,
G,Block,T0-T3,Microplots,Chamber #,Vial #,Lid Type,Ht (cm),Ht (cm),Ht (cm),Ht (cm),Soil temp,Hours,Minutes,Seconds,Time ,Actual time,Notes
G9,2,2,,1,67,Y,19.5,20,19.5,19,6,0,39,23,39.4,36.0,-
G9,2,3,,1,68,Y,19.5,20,19.5,19,6,0,57,23,57.4,54.0,-
G4,2,0,,1,69,Y,18,18,17.5,18,5.5,0,5,43,5.7,0.0,-
G4,2,1,,1,70,Y,18,18,17.5,18,5.5,0,23,43,23.7,18.0,-
G4,2,2,,1,71,Y,18,18,17.5,18,5.5,0,41,43,41.7,36.0,-
G4,2,3,,1,72,Y,18,18,17.5,18,5.5,0,59,43,59.7,54.0,-
G5,2,0,,1,73,Y,17.5,18,18.5,18,6,0,8,12,8.2,0.0,-
G5,2,1,,1,74,Y,17.5,18,18.5,18,6,0,26,12,26.2,18.0,-
G5,2,2,,1,75,Y,17.5,18,18.5,18,6,0,44,12,44.2,36.0,-
G5,2,3,,1,76,Y,17.5,18,18.5,18,6,1,2,12,62.2,54.0,-
G1,2,0,,1,77,Y,18.5,18.5,19,18,5.5,0,10,26,10.4,0.0,-
G1,2,1,,1,78,Y,18.5,18.5,19,18,5.5,0,28,27,28.5,18.0,-
G1,2,2,,1,79,Y,18.5,18.5,19,18,5.5,0,46,27,46.5,36.0,-
G1,2,3,,1,80,Y,18.5,18.5,19,18,5.5,1,4,27,64.5,54.0,-
G2,3,0,,1,81,Y,16,17.5,17.5,17.5,5,0,0,0,0.0,0.0,-
G2,3,1,,1,82,Y,16,17.5,17.5,17.5,5,0,18,0,18.0,18.0,-
G2,3,2,,1,83,Y,16,17.5,17.5,17.5,5,0,36,0,36.0,36.0,-
G2,3,3,,1,84,Y,16,17.5,17.5,17.5,5,0,54,0,54.0,54.0,-
G9,3,0,,1,85,Y,20,20,19.5,20.5,4,0,2,54,2.9,0.0,-
G9,3,1,,1,86,Y,20,20,19.5,20.5,4,0,20,54,20.9,18.0,-
G9,3,2,,1,87,Y,20,20,19.5,20.5,4,0,38,54,38.9,36.0,-
G9,3,3,,1,88,Y,20,20,19.5,20.5,4,0,56,54,56.9,54.0,-
